Days,flux
-25,0
-24,0
-23,0
-22,0
-21,0
-20,0
-19,0.005
-18,0.019
-17,0.044
-16,0.08
-15,0.127
-14,0.183
-13,0.248
-12,0.324
-11,0.41
-10,0.508
-9,0.597
-8,0.674
-7,0.746
-6,0.81
-5,0.868
-4,0.915
-3,0.952
-2,0.979
-1,0.995
0,1
1,0.995
2,0.979
3,0.953
4,0.918
5,0.875
6,0.827
7,0.773
8,0.718
9,0.661
10,0.604
11,0.55
12,0.498
13,0.466
14,0.423
15,0.381
16,0.342
17,0.306
18,0.272
19,0.241
20,0.215
21,0.192
22,0.172
23,0.155
24,0.142
25,0.13
26,0.12
27,0.112
28,0.105
29,0.099
30,0.094
31,0.09
32,0.087
33,0.084
34,0.081
35,0.078
36,0.076
37,0.073
38,0.071
39,0.069
40,0.067
41,0.065
42,0.064
43,0.062
44,0.06
45,0.059
46,0.058
47,0.057
48,0.056
49,0.055
50,0.054
